address;webSite;helpPhone;dimensions;coordinates
Липецкая улица, дом 44;sch947u.mskobr.ru;+7 (495) 329-86-89;площадь (кв. м): 364;{type=Point, coordinates=[37.67913419049, 55.582298142576]}
улица Мнёвники, дом 7 ;lyc1560.mskobr.ru;+7 (495) 616-10-10;площадь (кв. м): 338;{type=Point, coordinates=[37.4928202145, 55.771160626399]}
Новосущёвская улица, дом 7;sch-mr.mskobr.ru;+7 (499) 978-14-78;площадь (кв. м): 308;{type=Point, coordinates=[37.602331242626, 55.787504634823]}
Октябрьская улица, дом 81;sch-mr.mskobr.ru;+7 (495) 181-56-56;площадь (кв. м): 528;{type=Point, coordinates=[37.612152783024, 55.795436451466]}
Кастанаевская улица, дом 59 ;kadnavy.mskobr.ru;+7 (499) 144-79-18;площадь (кв. м): 1050;{type=Point, coordinates=[37.454704623207, 55.731342117529]}
Халтуринская улица, дом 16;gym1799.mskobr.ru;+7 (499) 161-75-39;площадь (кв. м): 1200;{type=Point, coordinates=[37.727329308377, 55.804479962533]}
Халтуринская улица, дом 16;gym1799.mskobr.ru;+7 (499) 161-75-39;площадь (кв. м): 200;{type=Point, coordinates=[37.726819688664, 55.804030312532]}
Пятницкое шоссе, дом 42 ;sch1191sz.mskobr.ru;+7 (495) 794-25-34;площадь (кв. м): 264;{type=Point, coordinates=[37.362023608472, 55.856707288508]}
Дегтярный переулок, дом 7;sch2054.mskobr.ru;+7 (926) 257-93-73;площадь (кв. м): 392;{type=Point, coordinates=[37.602582073883, 55.768936973815]}
улица Петровка, дом 23/10 ;sch2054.mskobr.ru;+7 (926) 257-93-73;площадь (кв. м): 200;{type=Point, coordinates=[37.6139869740845, 55.765071766909486]}
Светлый проезд, дом 2А;college57.mskobr.ru;+7 (499) 158-83-60;площадь (кв. м): 438;{type=Point, coordinates=[37.491050406833, 55.812341457181]}
Песчаный переулок, дом 6;sch1251s.mskobr.ru;+7 (499) 198-04-81;площадь (кв. м): 1200;{type=Point, coordinates=[37.507655131059, 55.799583432957]}
Дубнинская улица, дом 46 ;sch1678.mskobr.ru;+7 (495) 483-20-31;площадь (кв. м): 800;{type=Point, coordinates=[37.560890121317, 55.892016513908]}
Партизанская улица, дом 11;sch806.mskobr.ru;+7 (495) 417-92-20;площадь (кв. м): 600;{type=Point, coordinates=[37.410083519695, 55.730796675991]}
бульвар Дмитрия Донского, дом 14А;sch2114uz.mskobr.ru;+7 (495) 712-03-99;площадь (кв. м): 1224;{type=Point, coordinates=[37.57064267959003, 55.56488850094327]}
Михалковская улица, дом 3;sch185s.mskobr.ru;+7 (499) 154-43-61;площадь (кв. м): 350;{type=Point, coordinates=[37.53476689682, 55.836924225518]}
улица Острякова, дом 15А;sch1384.mskobr.ru;+7 (499) 157-13-88;площадь (кв. м): 512;{type=Point, coordinates=[37.522853305692, 55.798601076835]}
улица Острякова, дом 15А;sch1384.mskobr.ru;+7 (499) 157-13-88;площадь (кв. м): 253;{type=Point, coordinates=[37.524038199746, 55.798451197916]}
Ташкентский переулок, дом 7 ;sch1363uv.mskobr.ru;+7 (495) 376-61-44;площадь (кв. м): 180;{type=Point, coordinates=[37.822924, 55.706972]}
Мячковский бульвар, дом 18 ;sch1566.mskobr.ru;+7 (499) 784-88-72;площадь (кв. м): 300;{type=Point, coordinates=[37.75560822213, 55.648150905183]}
Ташкентский переулок, дом 7 ;sch1363uv.mskobr.ru;+7 (495) 376-61-44;площадь (кв. м): 450;{type=Point, coordinates=[37.822693700119, 55.706752777242]}
Рязанский проспект, дом 82 ;sch1363uv.mskobr.ru;+7 (495) 376-61-44;площадь (кв. м): 493;{type=Point, coordinates=[37.823683398128, 55.708345819095]}
Новомарьинская улица, дом 7 ;sch1566.mskobr.ru;+7 (495) 347-87-26;площадь (кв. м): 287.76;{type=Point, coordinates=[37.750029617926, 55.653884923848]}
"посёлок ЛМС, микрорайон ""Центральный"", дом 34 ";sch2073.mskobr.ru/;+7 (495) 850-73-73;площадь (кв. м): 650;{type=Point, coordinates=[37.18397156944939, 55.312659070381564]}
Братеевская улица, дом 23 ;sch1034.mskobr.ru;+7 (495) 342-84-00;площадь (кв. м): 630;{type=Point, coordinates=[37.75950632436, 55.633319358799]}
улица Верхние Поля, дом 15 ;sch2010uv.mskobr.ru;+7 (495) 359-17-46;площадь (кв. м): 450;{type=Point, coordinates=[37.748685632395, 55.667629067657]}
Белореченская улица, дом 8;sch2010uv.mskobr.ru;+7 (495) 359-17-46;площадь (кв. м): 450;{type=Point, coordinates=[37.763320032249, 55.672504770407]}
Батайский проезд, дом 47;sch1394uv.mskobr.ru;+7 (495) 348-50-10;площадь (кв. м): 450;{type=Point, coordinates=[37.737293721458656, 55.6447447138403]}
Батайский проезд, дом 47;sch1394uv.mskobr.ru;+7 (495) 348-50-10;площадь (кв. м): 450;{type=Point, coordinates=[37.73592383160742, 55.64470439224775]}
Мичуринский проспект, дом 10;sch37.mskobr.ru/;+7 (499) 739-35-28;площадь (кв. м): 224;{type=Point, coordinates=[37.508129064978, 55.704823915234]}
улица 50 лет Октября, дом 21А;sch1000.mskobr.ru;+7 (495) 435-03-00;площадь (кв. м): 126;{type=Point, coordinates=[37.411824672281476, 55.65473151524902]}
город Зеленоград, ;sch1151zg.mskobr.ru;+7 (499) 717-44-02;площадь (кв. м): 250;{type=Point, coordinates=[37.15971196427823, 55.9862511752859]}
Барвихинская улица, дом 14;sch1400z.mskobr.ru;+7 (495) 448-92-59;площадь (кв. м): 169;{type=Point, coordinates=[37.387878095592, 55.718635677431]}
Мичуринский проспект, дом 15 ;sch1498.mskobr.ru;+7 (495) 932-75-01;площадь (кв. м): 328.75;{type=Point, coordinates=[37.51098255180109, 55.697571893983735]}
Фестивальная улица, дом 16;gym1590s.mskobr.ru;+7 (495) 453-94-24;площадь (кв. м): 500;{type=Point, coordinates=[37.496445904898, 55.85933978135]}
микрорайон Северное Чертаново, ;sch1158.mskobr.ru;+7 (495) 319-20-70;площадь (кв. м): 1627.24;{type=Point, coordinates=[37.59595521015, 55.633822892671]}
Ломоносовский проспект, дом 16;lyc1533.mskobr.ru;+7 (499) 125-23-59;площадь (кв. м): 250;{type=Point, coordinates=[37.544136813678, 55.692697463991]}
Тихвинская улица, дом 39 ;lycc1501.mskobr.ru;+7 (499) 972-62-41;площадь (кв. м): 900;{type=Point, coordinates=[37.597385442783, 55.791861375384]}
улица Борисовские Пруды, дом 20 ;sch867u.mskobr.ru;+7 (495) 341-08-42;площадь (кв. м): 96;{type=Point, coordinates=[37.753336093906, 55.636627282152]}
улица Борисовские Пруды, дом 20 ;sch867u.mskobr.ru;+7 (495) 341-08-42;площадь (кв. м): 242;{type=Point, coordinates=[37.753328047278, 55.636814016983]}
Ключевая улица, дом 6 ;sch867u.mskobr.ru;+7 (495) 341-08-07;площадь (кв. м): 126;{type=Point, coordinates=[37.756715178769, 55.637087099913]}
Ключевая улица, дом 6 ;sch867u.mskobr.ru;+7 (495) 341-08-07;площадь (кв. м): 390;{type=Point, coordinates=[37.75525471596, 55.637958517812]}
Азовская улица, дом 31;sch536uz.mskobr.ru;+7 (495) 310-54-22;площадь (кв. м): 1566;{type=Point, coordinates=[37.60056160650965, 55.649531117973424]}
Волгоградский проспект, дом 103 ;sch825uv.mskobr.ru;+7 (499) 177-62-77;площадь (кв. м): 525;{type=Point, coordinates=[37.75803119378089, 55.70958326882305]}
Окская улица, дом 16 ;sch825uv.mskobr.ru;+7 (499) 177-62-77;площадь (кв. м): 608;{type=Point, coordinates=[37.757318199498, 55.710248494208]}
Братиславская улица, дом 4;gym1562uv.mskobr.ru;+7 (495) 349-00-11;площадь (кв. м): 360;{type=Point, coordinates=[37.74999312268414, 55.66530558343411]}
Новокосинская улица, дом 13А;cov1925.mskobr.ru;+7 (495) 702-66-76;площадь (кв. м): 510;{type=Point, coordinates=[37.852086607097, 55.734982916419]}
Алтуфьевское шоссе, дом 12 ;sch962sv.mskobr.ru;+7 (499) 903-16-19;площадь (кв. м): 375;{type=Point, coordinates=[37.588074754153, 55.855826100746]}
Алтуфьевское шоссе, дом 12 ;sch962sv.mskobr.ru;+7 (499) 903-16-19;площадь (кв. м): 1152;{type=Point, coordinates=[37.587577110832, 55.855749461878]}
Борисовский проезд, дом 40 ;gym1569u.mskobr.ru;+7 (495) 394-07-00;площадь (кв. м): 240;{type=Point, coordinates=[37.724629000785, 55.616010326366]}
Белозерская улица, дом 12;gsg.mskobr.ru;+7 (495) 707-07-62;площадь (кв. м): 281.82;{type=Point, coordinates=[37.615413066132, 55.896211809941]}
Белозерская улица, дом 12;gsg.mskobr.ru;+7 (495) 707-07-62;площадь (кв. м): 960;{type=Point, coordinates=[37.615380879623, 55.895934505455]}
Михневская улица, дом 8 ;sch1861u.mskobr.ru;+7 (499) 401-02-79;площадь (кв. м): 288;{type=Point, coordinates=[37.671643373016, 55.578261895505]}
улица Генерала Белова, дом 6;collegetsaritsyno.mskobr.ru;+7 (495) 390-56-53;площадь (кв. м): 600;{type=Point, coordinates=[37.715455024467, 55.621176805762]}
город Зеленоград, ;sch854zg.mskobr.ru;+7 (499) 762-49-86;площадь (кв. м): 510;{type=Point, coordinates=[37.228241015886, 55.9922350587]}
2-я Вольская улица, дом 7 ;gym1595.mskobr.ru;+7 (499) 211-26-10;площадь (кв. м): 336;{type=Point, coordinates=[37.92287315063755, 55.68762221500399]}
Федеративный проспект, дом 1А;sch423.mskobr.ru;+7 (495) 304-01-09;площадь (кв. м): 1347.5;{type=Point, coordinates=[37.798094, 55.758234]}
улица 26-ти Бакинских Комиссаров, дом 3 ;sch1485.mskobr.ru;+7 (495) 438-65-56;площадь (кв. м): 450;{type=Point, coordinates=[37.486872574266, 55.657756739812]}
проспект Вернадского, дом 57;gym1541.mskobr.ru;+7 (499) 431-19-82;площадь (кв. м): 288;{type=Point, coordinates=[37.503449639886, 55.672517950929]}
улица Лобачевского, дом 54;sch324.mskobr.ru;+7 (499) 133-57-04;площадь (кв. м): 162;{type=Point, coordinates=[37.49310565277788, 55.67333515343851]}
Байкальская улица, дом 44;sch1352v.mskobr.ru;+7 (495) 466-59-01;площадь (кв. м): 308;{type=Point, coordinates=[37.814732868532, 55.815717908562]}
Череповецкая улица, дом 10А;sch1449sv.mskobr.ru;+7 (499) 200-62-90;площадь (кв. м): 171;{type=Point, coordinates=[37.57233299999999, 55.89678777294844]}
Череповецкая улица, дом 10А;sch1449sv.mskobr.ru;+7 (499) 200-62-90;площадь (кв. м): 288;{type=Point, coordinates=[37.57234199999998, 55.89693349211149]}
Профсоюзная улица, дом 142 ;gym1507uz.mskobr.ru;+7 (495) 420-70-32;площадь (кв. м): 180;{type=Point, coordinates=[37.504886441635, 55.627236771474]}
Тамбовская улица, дом 10;gym1636u.mskobr.ru;+7 (495) 397-05-83;площадь (кв. м): 240;{type=Point, coordinates=[37.745595535767, 55.603473138262]}
улица Кулакова, дом 2 ;sch69sz.mskobr.ru;+7 (495) 750-10-10;площадь (кв. м): 162;{type=Point, coordinates=[37.399717711455, 55.816640734482]}
Первомайская улица, дом 59;gym1290.mskobr.ru;+7 (499) 165-52-42;площадь (кв. м): 882;{type=Point, coordinates=[37.7931906915501, 55.794355406116104]}
Борисовский проезд, дом 40 ;sch939u.mskobr.ru;+7 (495) 393-14-90;площадь (кв. м): 450;{type=Point, coordinates=[37.726053870163, 55.615684688902]}
Борисовский проезд, дом 40 ;sch939u.mskobr.ru;+7 (495) 393-14-90;площадь (кв. м): 360;{type=Point, coordinates=[37.726540691099, 55.615734127799]}
Профсоюзная улица, дом 132 ;gym1507uz.mskobr.ru;+7 (495) 420-70-32;площадь (кв. м): 416;{type=Point, coordinates=[37.505675849678, 55.630200206514]}
Бартеневская улица, дом 27;sch1981uz.mskobr.ru;+7 (495) 717-17-54;площадь (кв. м): 144;{type=Point, coordinates=[37.530910656197, 55.548957153158]}
улица Академика Виноградова, дом 11;sch1101uz.mskobr.ru;+7 (495) 339-77-39;площадь (кв. м): 502.5;{type=Point, coordinates=[37.486802852936, 55.635046378533]}
улица Адмирала Лазарева, дом 62 ;sch1492uz.mskobr.ru;+7 (495) 714-03-27;площадь (кв. м): 448;{type=Point, coordinates=[37.507927135181, 55.539951011334]}
улица Адмирала Лазарева, дом 62 ;sch1492uz.mskobr.ru;+7 (495) 714-03-27;площадь (кв. м): 162;{type=Point, coordinates=[37.50775934734, 55.540028304963]}
Оршанская улица, дом 10 ;sch1293.mskobr.ru;+7 (499) 140-34-89;площадь (кв. м): 448;{type=Point, coordinates=[37.409760713088, 55.742395604216]}
Новохорошевский проезд, дом 1;spo67.mskobr.ru/;+7 (495) 758-01-37;площадь (кв. м): 390;{type=Point, coordinates=[37.499375507754, 55.778054035703]}
Суздальская улица, дом 12;sch2128.mskobr.ru;+7 (495) 701-63-21;площадь (кв. м): 682;{type=Point, coordinates=[37.8497003734635, 55.739177929253835]}
Суздальская улица, дом 12;sch2128.mskobr.ru;+7 (495) 701-63-21;площадь (кв. м): 434;{type=Point, coordinates=[37.84995518331836, 55.73930195034692]}
деревня Яковлево, Парковая улица, дом 21;schtn1392.mskobr.ru;+7 (499) 551-03-16;площадь (кв. м): 242;{type=Point, coordinates=[37.393048, 55.480284]}
улица Молостовых, дом 6А;sch922v.mskobr.ru;+7 (495) 300-44-81;площадь (кв. м): 1800;{type=Point, coordinates=[37.82698565311421, 55.762583623527824]}
улица Молостовых, дом 10Б;sch922v.mskobr.ru;+7 (495) 300-44-81;площадь (кв. м): 364;{type=Point, coordinates=[37.826557963235, 55.760049460453]}
Инженерная улица, дом 16;sch305.mskobr.ru;+7 (499) 901-72-11;площадь (кв. м): 2100;{type=Point, coordinates=[37.579458117388, 55.880738627287]}
Кондрашёвский тупик, дом 3А;sch2105c.mskobr.ru;+7 (499) 261-10-02;площадь (кв. м): 242;{type=Point, coordinates=[37.68835581296, 55.769083321756]}
улица Госпитальный Вал, дом 5 ;sch2105c.mskobr.ru;+7 (495) 360-80-21;площадь (кв. м): 108;{type=Point, coordinates=[37.706718, 55.773793]}
Большой Полуярославский переулок, дом 7;lycc1581.mskobr.ru;+7 (495) 916-18-86;площадь (кв. м): 594;{type=Point, coordinates=[37.663199977694, 55.752918720398]}
улица Талалихина, дом 20 ;sch480c.mskobr.ru;+7 (495) 670-53-51;площадь (кв. м): 544;{type=Point, coordinates=[37.677267856483, 55.733955445094]}
1-й Ботанический проезд, дом 2;gym-sviblovo.mskobr.ru;+7 (495) 656-60-81;площадь (кв. м): 882;{type=Point, coordinates=[37.63516893596, 55.851003037635]}
Можайское шоссе, дом 18 ;sch587.mskobr.ru;+7 (495) 444-27-14;площадь (кв. м): 420;{type=Point, coordinates=[37.429809876945, 55.722239237428]}
улица Борисовские Пруды, дом 11 ;gym1579u.mskobr.ru/;+7 (495) 655-91-90;площадь (кв. м): 325;{type=Point, coordinates=[37.718331549759, 55.635901027582]}
Полоцкая улица, дом 21 ;sch806.mskobr.ru;+7 (495) 417-92-20;площадь (кв. м): 525;{type=Point, coordinates=[37.423024228171, 55.73222960589]}
улица Михайлова, дом 24 ;sch777uv.mskobr.ru;+7 (499) 171-96-10;площадь (кв. м): 450;{type=Point, coordinates=[37.767998426133, 55.725715614832]}
улица Солянка, дом 14А, ;school.hse.ru/;+7 (495) 772-95-90;площадь (кв. м): 336;{type=Point, coordinates=[37.637537084932, 55.752641227217]}
Мариупольская улица, дом 3;shkid.mskobr.ru;+7 (495) 351-89-03;площадь (кв. м): 162;{type=Point, coordinates=[37.740799807988, 55.67552489146]}
Мариупольская улица, дом 3;shkid.mskobr.ru;+7 (495) 351-89-03;площадь (кв. м): 420;{type=Point, coordinates=[37.742114090406, 55.675589952298]}
Большая Почтовая улица, дом 35 ;pk02.mskobr.ru;+7 (499) 261-77-01;площадь (кв. м): 250;{type=Point, coordinates=[37.691683932361, 55.776621990972]}
Открытое шоссе, дом 25;lyc1795.mskobr.ru;+7 (499) 167-81-71;площадь (кв. м): 81;{type=Point, coordinates=[37.756996656413534, 55.82852158534694]}
Открытое шоссе, дом 25;lyc1795.mskobr.ru;+7 (499) 167-81-71;площадь (кв. м): 420;{type=Point, coordinates=[37.757026160712755, 55.82836155436969]}
Открытое шоссе, дом 25;lyc1795.mskobr.ru;+7 (499) 167-81-71;площадь (кв. м): 153;{type=Point, coordinates=[37.75729706382309, 55.82836155407004]}
2-й Сельскохозяйственный проезд, дом 4 ;university-school.mskobr.ru;+7 (499) 181-59-89;площадь (кв. м): 264;{type=Point, coordinates=[37.64366878671582, 55.83413782569932]}
Лукинская улица, дом 12 ;1376.mskobr.ru;+7 (499) 737-08-89;площадь (кв. м): 364;{type=Point, coordinates=[37.340237859480794, 55.64935392991617]}
Перервинский бульвар, дом 16 ;sch1959uv.mskobr.ru;+7 (495) 346-45-51;площадь (кв. м): 450;{type=Point, coordinates=[37.769737040772, 55.654645709877]}
5-я улица Ямского Поля, дом 28;gym1570s.mskobr.ru;+7 (495) 612-71-81;площадь (кв. м): 162;{type=Point, coordinates=[37.585769595169, 55.783169732856]}
переулок Расковой, дом 14А;gym1570s.mskobr.ru;+7 (495) 612-71-81;площадь (кв. м): 450;{type=Point, coordinates=[37.575583601941, 55.786789384309]}
Перервинский бульвар, дом 5 ;licuv1547.mskobr.ru;+7 (495) 658-58-88;площадь (кв. м): 284;{type=Point, coordinates=[37.767630691144, 55.664322607459]}
Перервинский бульвар, дом 5 ;licuv1547.mskobr.ru;+7 (495) 658-58-88;площадь (кв. м): 450;{type=Point, coordinates=[37.766284222218, 55.663929687577]}
Федеративный проспект, дом 11;gymmg.mskobr.ru;+7 (495) 304-76-84;площадь (кв. м): 800;{type=Point, coordinates=[37.803876144844, 55.757313300649]}
Пенягинская улица, дом 14;gym1544sz.mskobr.ru;+7 (495) 752-61-11;площадь (кв. м): 1125;{type=Point, coordinates=[37.358751912368, 55.835903573635]}
улица Гурьянова, дом 33;spectr.mskobr.ru;+7 (495) 353-11-61;площадь (кв. м): 450;{type=Point, coordinates=[37.720844171284, 55.683540841899]}
Большая Внуковская улица, дом 4;sch41.mskobr.ru;+7 (495) 736-11-10;площадь (кв. м): 525;{type=Point, coordinates=[37.295497563109, 55.614324345962]}
улица Юных Ленинцев, дом 68;schuv.mskobr.ru/;+7 (495) 133-76-04;площадь (кв. м): 224;{type=Point, coordinates=[37.771805580944, 55.696528289494]}
Таллинская улица, дом 3 ;sch705sz.mskobr.ru;+7 (495) 758-36-87;площадь (кв. м): 198;{type=Point, coordinates=[37.39451046263502, 55.800994216458456]}
Дубнинская улица, дом 73Б;sch1678.mskobr.ru;+7 (495) 483-20-31;площадь (кв. м): 800;{type=Point, coordinates=[37.555017575393, 55.88200679935]}
Коровинское шоссе, дом 24А;sch236s.mskobr.ru;+7 (499) 906-87-98;площадь (кв. м): 260;{type=Point, coordinates=[37.523389005908, 55.882244197486]}
Коровинское шоссе, дом 24А;sch236s.mskobr.ru;+7 (499) 906-87-98;площадь (кв. м): 260;{type=Point, coordinates=[37.522906208286, 55.882728143367]}
Ленинградское шоссе, дом 54;sch224s.mskobr.ru;+7 (499) 156-43-62;площадь (кв. м): 390;{type=Point, coordinates=[37.485049331342, 55.837727528753]}
Ленинградское шоссе, дом 54;sch224s.mskobr.ru;+7 (499) 156-43-62;площадь (кв. м): 544;{type=Point, coordinates=[37.483811255899, 55.837881645438]}
Мячковский бульвар, дом 25;sch1357uv.mskobr.ru;+7 (499) 784-88-71;площадь (кв. м): 600;{type=Point, coordinates=[37.76335500592, 55.650589188926]}
проезд Стратонавтов, дом 15;mgok.mskobr.ru;+7 (495) 748-83-89;площадь (кв. м): 392;{type=Point, coordinates=[37.430140058524, 55.827463969289]}
Никольский проезд, дом 3;sch854zg.mskobr.ru;+7 (499) 736-75-15;площадь (кв. м): 336;{type=Point, coordinates=[37.246888380387, 55.994245606855]}
1-й Котельнический переулок, дом 5;sch2104c.mskobr.ru;+7 (495) 915-15-72;площадь (кв. м): 300;{type=Point, coordinates=[37.645973632704, 55.743432036062]}
улица Полбина, дом 38;sch1256uv.mskobr.ru;+7 (495) 354-28-07;площадь (кв. м): 544;{type=Point, coordinates=[37.72628301719627, 55.68170906801271]}
улица Полбина, дом 44;sch1256uv.mskobr.ru;+7 (495) 354-28-07;площадь (кв. м): 555;{type=Point, coordinates=[37.726305, 55.680897]}
Лебедянская улица, дом 14 ;sch947u.mskobr.ru;+7 (495) 329-86-89;площадь (кв. м): 384;{type=Point, coordinates=[37.67221466732, 55.584304923778]}
Веерная улица, дом 38 ;sch814z.mskobr.ru;+7 (495) 441-71-22;площадь (кв. м): 420;{type=Point, coordinates=[37.480966746648, 55.713790966798]}
улица Маршала Голованова, дом 9;sch1394uv.mskobr.ru;+7 (495) 348-59-00;площадь (кв. м): 397.5;{type=Point, coordinates=[37.733483867581, 55.648402420638]}
улица Маршала Голованова, дом 9;sch1394uv.mskobr.ru;+7 (495) 348-59-00;площадь (кв. м): 200;{type=Point, coordinates=[37.732805197371, 55.648936577861]}
улица Маршала Голованова, дом 9;sch1394uv.mskobr.ru;+7 (495) 348-59-00;площадь (кв. м): 450;{type=Point, coordinates=[37.731340711249, 55.6483431727]}
Большая Переяславская улица, дом 8А;schuc1297.mskobr.ru;+7 (495) 631-21-14;площадь (кв. м): 351;{type=Point, coordinates=[37.64366611988, 55.781691100108]}
улица Судакова, дом 18А;ks54.mskobr.ru;+7 (495) 134-12-34;площадь (кв. м): 700;{type=Point, coordinates=[37.751212203704, 55.672226038242]}
Русаковская улица, дом 10 ;schc315.mskobr.ru;+7 (499) 264-64-45;площадь (кв. м): 390;{type=Point, coordinates=[37.673503426914, 55.782951223655]}
6-я Кожуховская улица, дом 8;sch2129uv.mskobr.ru/;+7 (495) 679-39-71;площадь (кв. м): 390;{type=Point, coordinates=[37.672450507437, 55.706022475401]}
улица Тимура Фрунзе, дом 3 ;sch1253c.mskobr.ru;+7 (926) 529-35-34;площадь (кв. м): 300;{type=Point, coordinates=[37.589750532384, 55.732751354951]}
Хабаровская улица, дом 8А;lyc1598v.mskobr.ru;+7 (495) 469-15-10;площадь (кв. м): 360;{type=Point, coordinates=[37.82910636669, 55.818053514989]}
Хабаровская улица, дом 18А;lyc1598v.mskobr.ru;+7 (495) 466-34-14;площадь (кв. м): 378;{type=Point, coordinates=[37.829474588992, 55.825184657495]}
Вишнёвая улица, домовладение 20 ;sch1285sz.mskobr.ru;+7 (495) 491-79-01;площадь (кв. м): 101.25;{type=Point, coordinates=[37.448071914017, 55.834149111403]}
Новоалексеевская улица, дом 6;gym1539sv.mskobr.ru;+7 (495) 687-44-06;площадь (кв. м): 800;{type=Point, coordinates=[37.642775357623, 55.807439263927]}
улица Паршина, дом 39;kurchat.mskobr.ru;+7 (499) 720-39-05;площадь (кв. м): 450;{type=Point, coordinates=[37.450022079747, 55.787477446803]}
улица Бехтерева, дом 17А;sch904u.mskobr.ru;+7 (495) 325-09-68;площадь (кв. м): 600;{type=Point, coordinates=[37.65269671792938, 55.63259371804141]}
Бескудниковский бульвар, дом 50А;cob.mskobr.ru;+7 (499) 488-12-75;площадь (кв. м): 924;{type=Point, coordinates=[37.53988073475, 55.874622643263]}
Бескудниковский бульвар, дом 50А;cob.mskobr.ru;+7 (499) 488-12-75;площадь (кв. м): 816;{type=Point, coordinates=[37.539255780049, 55.874561140557]}
Бескудниковский бульвар, дом 50Б;cob.mskobr.ru/;+7 (499) 488-12-75;площадь (кв. м): 539.96;{type=Point, coordinates=[37.541986694966, 55.875060607907]}
улица Академика Ильюшина, дом 8;itschool.mskobr.ru/;+7 (499) 152-78-26;площадь (кв. м): 288;{type=Point, coordinates=[37.542090645507, 55.80365056713]}
Загорьевская улица, дом 31;sch508u.mskobr.ru;+7 (495) 326-63-38;площадь (кв. м): 392;{type=Point, coordinates=[37.697759736848, 55.584007513728]}
Ферганский проезд, дом 5 ;sch1363uv.mskobr.ru;+7 (495) 376-61-44;площадь (кв. м): 450;{type=Point, coordinates=[37.822461047274, 55.694893163782]}
Дубнинская улица, дом 18А;sch1794s.mskobr.ru;+7 (499) 900-69-00;площадь (кв. м): 240;{type=Point, coordinates=[37.56677038790361, 55.86954426733612]}
Енисейская улица, дом 32 ;sch1095sv.mskobr.ru;+7 (495) 470-91-55;площадь (кв. м): 528;{type=Point, coordinates=[37.669877295907, 55.871968963599]}
Дубининская улица, дом 25 ;kmb-4.mskobr.ru;+7 (495) 235-17-87;площадь (кв. м): 390;{type=Point, coordinates=[37.638472374344, 55.726459760296]}
улица Адмирала Руднева, дом 16 ;sch2009uz.mskobr.ru;+7 (499) 743-74-18;площадь (кв. м): 234;{type=Point, coordinates=[37.519485250849, 55.540321383693]}
улица Адмирала Руднева, дом 16 ;sch2009uz.mskobr.ru;+7 (499) 743-74-18;площадь (кв. м): 264;{type=Point, coordinates=[37.519944578045, 55.541209255407]}
улица Адмирала Лазарева, дом 40 ;sch2009uz.mskobr.ru;+7 (499) 743-74-18;площадь (кв. м): 300;{type=Point, coordinates=[37.520502102876, 55.544827080429]}
Нижегородская улица, дом 3Б, ;sch1468.mskobr.ru;+7 (495) 670-06-27;площадь (кв. м): 338;{type=Point, coordinates=[37.679309624103, 55.740843023596]}
Новорогожская улица, дом 18 ;sch1468.mskobr.ru;+7 (495) 678-84-65;площадь (кв. м): 800;{type=Point, coordinates=[37.686612470869, 55.739998072725]}
5-й квартал Капотня, дом 28;kapotnya.mskobr.ru/;+7 (495) 355-00-00;площадь (кв. м): 312.5;{type=Point, coordinates=[37.796388502638, 55.631017475399]}
5-й квартал Капотня, дом 28;kapotnya.mskobr.ru/;+7 (495) 355-00-00;площадь (кв. м): 162;{type=Point, coordinates=[37.796101506273, 55.631018934275]}
улица Вавилова, дом 91;sch1205uz.mskobr.ru;+7 (499) 128-18-33;площадь (кв. м): 364;{type=Point, coordinates=[37.544455061262, 55.676480625721]}
улица Академика Капицы, дом 8;sch1273uz.mskobr.ru;+7 (495) 420-15-00;площадь (кв. м): 210;{type=Point, coordinates=[37.524221233004, 55.630384283253]}
улица Академика Капицы, дом 16;sch1273uz.mskobr.ru;+7 (495) 420-29-33;площадь (кв. м): 153.42;{type=Point, coordinates=[37.524570720738, 55.627047402953]}
Большая Очаковская улица, дом 18;sch2025.mskobr.ru;+7 (499) 662-66-23;площадь (кв. м): 2250;{type=Point, coordinates=[37.456533145021, 55.684207931755]}
улица Плющева, дом 11А;sch2126.mskobr.ru;+7 (495) 309-04-92;площадь (кв. м): 640;{type=Point, coordinates=[37.761937923927, 55.742574454434]}
улица Чечулина, дом 28;sch1373v.mskobr.ru;+7 (499) 308-66-70;площадь (кв. м): 364;{type=Point, coordinates=[37.836806747935, 55.781757245682]}
Товарищеский переулок, дом 21;sch1270c.mskobr.ru;+7 (495) 912-99-16;площадь (кв. м): 450;{type=Point, coordinates=[37.664412210469, 55.743755130187]}
улица Ватутина, дом 8;ck41.mskobr.ru;+7 (499) 449-36-98;площадь (кв. м): 594;{type=Point, coordinates=[37.457744873425, 55.722975370285]}
Новопесчаная улица, дом 15;sch1384.mskobr.ru;+7 (499) 157-13-88;площадь (кв. м): 450;{type=Point, coordinates=[37.516063647657, 55.798035578037]}
Песчаная улица, дом 5;sch1384.mskobr.ru;+7 (499) 157-13-88;площадь (кв. м): 176;{type=Point, coordinates=[37.51603275103, 55.802790911069]}
15-я Парковая улица, дом 52А;gym1748v.mskobr.ru;+7 (495) 468-82-05;площадь (кв. м): 252;{type=Point, coordinates=[37.821270622737, 55.809343937492]}
16-я Парковая улица, дом 8;gym1748v.mskobr.ru;+7 (499) 461-75-73;площадь (кв. м): 361;{type=Point, coordinates=[37.825601190144, 55.799105358959]}
